time_utc,mid_temp_c,mid_dewpoint_c,mid_precip_mm,mid_press_hpa,mid_wind_ms,time_lima,sm_temp_c,sm_dewpoint_c,sm_precip_mm,sm_press_hpa,sm_wind_ms,precip_mm,condicion_lluvia
2026-02-19 05:00:00+00:00,7.690735,7.517456,1.3165753,689.46564,0.9859642,2026-02-19 00:00:00-05:00,7.613098,7.310913,1.458412,684.5684,1.135374,1.3165753,Con lluvia
2026-02-19 06:00:00+00:00,7.542328,7.150421,1.329463,688.9,0.90458363,2026-02-19 01:00:00-05:00,7.424652,6.906769,1.4702622,683.9978,1.1211432,1.329463,Con lluvia
2026-02-19 07:00:00+00:00,7.8595276,7.600067,1.403084,688.15314,1.0128797,2026-02-19 02:00:00-05:00,7.6246643,7.374481,1.5286971,683.3003,0.9949268,1.403084,Con lluvia
2026-02-19 08:00:00+00:00,7.7406616,7.6607666,1.6830713,687.8137,0.78878206,2026-02-19 03:00:00-05:00,7.501404,7.397064,1.7943121,682.96375,0.9000184,1.6830713,Con lluvia
2026-02-19 09:00:00+00:00,7.8661804,7.7742004,2.083985,687.66376,0.8511111,2026-02-19 04:00:00-05:00,7.605438,7.4773254,2.0872447,682.8088,0.9403721,2.083985,Con lluvia
2026-02-19 10:00:00+00:00,7.9518433,7.8575134,2.6353168,687.72815,0.81526697,2026-02-19 05:00:00-05:00,7.704254,7.5367126,2.4946294,682.8753,0.8900336,2.6353168,Con lluvia
2026-02-19 11:00:00+00:00,8.040192,7.936737,3.048841,688.02313,0.8636357,2026-02-19 06:00:00-05:00,7.794098,7.591522,2.8108506,683.15594,0.9317797,3.048841,Con lluvia
2026-02-19 12:00:00+00:00,8.136627,7.9830933,3.4325757,688.3869,0.9156993,2026-02-19 07:00:00-05:00,7.9271545,7.65448,3.1036437,683.5044,0.9724928,3.4325757,Con lluvia
2026-02-19 13:00:00+00:00,9.05719,8.762207,3.7293322,688.9519,1.0014808,2026-02-19 08:00:00-05:00,8.722687,8.260742,3.3488126,684.0747,1.0309302,3.7293322,Con lluvia
2026-02-19 14:00:00+00:00,9.85553,9.325439,4.113838,689.5175,1.2453824,2026-02-19 09:00:00-05:00,9.576721,8.865448,3.719721,684.65533,1.1906586,4.113838,Con lluvia
2026-02-19 15:00:00+00:00,10.603821,9.529419,5.040333,689.6869,1.4413702,2026-02-19 10:00:00-05:00,10.409454,9.248657,4.603341,684.82935,1.3155032,5.040333,Con lluvia
2026-02-19 16:00:00+00:00,12.095245,10.912231,6.0507655,689.6819,1.3608738,2026-02-19 11:00:00-05:00,11.678253,10.26474,5.542502,684.83405,1.2769134,6.0507655,Con lluvia
2026-02-19 17:00:00+00:00,12.402252,11.073212,7.208582,689.0563,1.5240444,2026-02-19 12:00:00-05:00,12.051666,10.531708,6.7542086,684.21344,1.4663708,7.208582,Con lluvia
2026-02-19 18:00:00+00:00,12.501526,10.951782,8.623197,688.4625,1.6062175,2026-02-19 13:00:00-05:00,12.295959,10.897583,8.282471,683.7097,1.1995155,8.623197,Con lluvia
2026-02-19 19:00:00+00:00,12.56073,9.46286,9.435467,687.95374,1.441436,2026-02-19 14:00:00-05:00,12.872742,10.005829,9.249351,683.1937,1.3200547,9.435467,Con lluvia
2026-02-19 20:00:00+00:00,13.056976,9.535614,9.967635,687.08875,1.6836817,2026-02-19 15:00:00-05:00,12.750824,9.879364,9.954113,682.3837,1.5018164,9.967635,Con lluvia
2026-02-19 21:00:00+00:00,12.858124,9.606812,10.353169,686.82935,1.6680218,2026-02-19 16:00:00-05:00,12.674042,9.866119,10.378815,682.1294,1.503283,10.353169,Con lluvia
2026-02-19 22:00:00+00:00,11.39856,8.320831,12.149601,686.8113,1.6846408,2026-02-19 17:00:00-05:00,11.160736,7.6474915,12.198629,682.0541,1.4638348,12.149601,Con lluvia
2026-02-19 23:00:00+00:00,10.078766,7.2930603,12.940339,687.28876,1.3268046,2026-02-19 18:00:00-05:00,9.870758,6.835022,12.822031,682.4959,1.1860526,12.940339,Con lluvia
2026-02-20 00:00:00+00:00,9.312256,7.785614,13.139099,687.7644,1.0643086,2026-02-19 19:00:00-05:00,9.227783,7.226532,12.995306,682.95404,0.91859925,13.139099,Con lluvia
2026-02-20 01:00:00+00:00,8.527588,7.660614,0.25152135,688.4375,0.96061975,2026-02-19 20:00:00-05:00,8.55542,7.1171265,0.2684975,683.605,0.89826804,0.25152135,Con lluvia
2026-02-20 02:00:00+00:00,8.119049,7.7097473,0.35667884,689.06,1.0921339,2026-02-19 21:00:00-05:00,8.025787,7.2463684,0.36047864,684.225,1.0675998,0.35667884,Con lluvia
2026-02-20 03:00:00+00:00,8.148132,7.888031,0.4407037,689.4412,1.0733327,2026-02-19 22:00:00-05:00,8.022156,7.4964294,0.42547286,684.59845,1.0498083,0.4407037,Con lluvia
2026-02-20 04:00:00+00:00,8.102936,7.9346313,0.5250331,689.6344,0.95043236,2026-02-19 23:00:00-05:00,8.009186,7.6309204,0.486305,684.78406,0.9462645,0.5250331,Con lluvia
2026-02-20 05:00:00+00:00,8.062134,7.929016,0.7250272,689.4525,0.921913,2026-02-20 00:00:00-05:00,7.9263916,7.631653,0.6918497,684.6122,0.9862833,0.7250272,Con lluvia
2026-02-20 06:00:00+00:00,7.9832153,7.8592224,1.023477,688.875,0.99898213,2026-02-20 01:00:00-05:00,7.8831177,7.608734,0.9873584,684.0175,1.0571733,1.023477,Con lluvia
2026-02-20 07:00:00+00:00,7.8502502,7.6761475,1.0949895,688.07623,1.1229535,2026-02-20 02:00:00-05:00,7.7843323,7.298706,1.0375175,683.21625,1.1753849,1.0949895,Con lluvia
