ts,role,ip,f4,f5,f6,f7,mcs_dl,mcs_ul,snr_dl,snr_ul,rssi_c0p,rssi_c0e,rssi_c1p,rssi_c1e,dl_rate,ul_rate,sta_dl_rssi,sta_ul_rssi,res20,res21,res22,res23,res24
2026-02-21T00:00:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,21,	-81,	-83,	-92,	-95,103M,,-76,-77,,,,,
2026-02-21T00:00:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,21,	-81,	-83,	-92,	-95,103M,,-76,-77,,,,,
2026-02-21T00:01:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-81,	-83,	-91,	-93,137M,,-76,-78,,,,,
2026-02-21T00:01:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-81,	-83,	-91,	-93,137M,,-76,-78,,,,,
2026-02-21T00:02:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-82,	-84,	-91,	-94,137M,,-76,-78,,,,,
2026-02-21T00:02:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-82,	-84,	-91,	-94,137M,,-76,-78,,,,,
2026-02-21T00:03:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,21,	-81,	-83,	-92,	-95,137M,,-76,-77,,,,,
2026-02-21T00:03:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,21,	-81,	-83,	-92,	-95,137M,,-76,-77,,,,,
2026-02-21T00:04:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,20,20,	-81,	-84,	-92,	-94,137M,,-76,-78,,,,,
2026-02-21T00:04:01-05:00,SM,192.168.1.3,2,2,,,105,105,20,20,	-81,	-84,	-92,	-94,137M,,-76,-78,,,,,
2026-02-21T00:05:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,22,	-81,	-83,	-90,	-94,137M,,-76,-77,,,,,
2026-02-21T00:05:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,22,	-81,	-83,	-90,	-94,137M,,-76,-77,,,,,
2026-02-21T00:06:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,20,20,	-79,	-81,	-88,	-92,137M,,-76,-78,,,,,
2026-02-21T00:06:01-05:00,SM,192.168.1.3,2,2,,,105,105,20,20,	-79,	-81,	-88,	-92,137M,,-76,-78,,,,,
2026-02-21T00:07:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-82,	-83,	-91,	-93,137M,,-76,-78,,,,,
2026-02-21T00:07:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-82,	-83,	-91,	-93,137M,,-76,-78,,,,,
2026-02-21T00:08:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,20,21,	-79,	-81,	-89,	-92,137M,,-76,-77,,,,,
2026-02-21T00:08:01-05:00,SM,192.168.1.3,2,2,,,105,105,20,21,	-79,	-81,	-89,	-92,137M,,-76,-77,,,,,
2026-02-21T00:09:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,21,	-81,	-84,	-91,	-94,103M,,-76,-77,,,,,
2026-02-21T00:09:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,21,	-81,	-84,	-91,	-94,103M,,-76,-77,,,,,
2026-02-21T00:10:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,21,	-80,	-82,	-89,	-91,137M,,-76,-77,,,,,
2026-02-21T00:10:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,21,	-80,	-82,	-89,	-91,137M,,-76,-77,,,,,
2026-02-21T00:11:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,20,	-81,	-84,	-89,	-90,103M,,-76,-77,,,,,
2026-02-21T00:11:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,20,	-81,	-84,	-89,	-90,103M,,-76,-77,,,,,
2026-02-21T00:12:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,21,	-82,	-84,	-92,	-94,137M,,-76,-77,,,,,
2026-02-21T00:12:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,21,	-82,	-84,	-92,	-94,137M,,-76,-77,,,,,
2026-02-21T00:13:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,21,	-82,	-84,	-92,	-94,137M,,-76,-78,,,,,
2026-02-21T00:13:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,21,	-82,	-84,	-92,	-94,137M,,-76,-78,,,,,
2026-02-21T00:14:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,21,	-81,	-83,	-90,	-94,137M,,-76,-77,,,,,
2026-02-21T00:14:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,21,	-81,	-83,	-90,	-94,137M,,-76,-77,,,,,
2026-02-21T00:15:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,21,	-79,	-81,	-89,	-92,137M,,-76,-77,,,,,
2026-02-21T00:15:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,21,	-79,	-81,	-89,	-92,137M,,-76,-77,,,,,
2026-02-21T00:16:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-81,	-83,	-91,	-95,137M,,-76,-78,,,,,
2026-02-21T00:16:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-81,	-83,	-91,	-95,137M,,-76,-78,,,,,
2026-02-21T00:17:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,20,	-81,	-83,	-90,	-94,103M,,-76,-78,,,,,
2026-02-21T00:17:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,20,	-81,	-83,	-90,	-94,103M,,-76,-78,,,,,
2026-02-21T00:18:01-05:00,AP,192.168.1.2,0,137,2,2,105,105,20,22,	-81,	-84,	-91,	-93,137M,,-76,-77,,,,,
2026-02-21T00:18:01-05:00,SM,192.168.1.3,2,2,,,105,105,20,22,	-81,	-84,	-91,	-93,137M,,-76,-77,,,,,
2026-02-21T00:19:01-05:00,AP,192.168.1.2,0,137,2,2,104,104,20,20,	-82,	-84,	-92,	-94,103M,,-76,-79,,,,,
2026-02-21T00:19:01-05:00,SM,192.168.1.3,2,2,,,104,104,20,20,	-82,	-84,	-92,	-94,103M,,-76,-79,,,,,
2026-02-21T00:20:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-81,	-84,	-92,	-94,137M,,-76,-78,,,,,
2026-02-21T00:20:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-81,	-84,	-92,	-94,137M,,-76,-78,,,,,
2026-02-21T00:21:01-05:00,AP,192.168.1.2,0,137,2,2,105,104,20,20,	-81,	-84,	-92,	-95,137M,,-76,-78,,,,,
2026-02-21T00:21:01-05:00,SM,192.168.1.3,2,2,,,105,104,20,20,	-81,	-84,	-92,	-95,137M,,-76,-78,,,,,
