timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-04-10T20:01:58-05:00;-77;21;104;1.52;318;459;-78;22;103;0.25;135;74;sm
2026-04-10T20:06:59-05:00;-77;21;104;1.55;332;468;-78;22;104;0.25;134;74;sm
2026-04-10T20:11:59-05:00;-77;21;104;0.63;170;190;-77;23;103;0.26;138;77;sm
2026-04-10T20:17:00-05:00;-77;21;104;1.72;370;517;-78;22;103;0.25;134;74;sm
2026-04-10T20:22:01-05:00;-77;21;104;1.15;345;345;-78;22;104;0.26;143;79;sm
2026-04-10T20:27:02-05:00;-77;21;104;0.9;288;272;-78;22;104;0.25;139;75;sm
2026-04-10T20:32:03-05:00;-76;22;103;0.46;157;139;-79;21;103;0.24;131;73;sm
2026-04-10T20:37:03-05:00;-77;21;105;0.8;309;242;-79;21;104;0.25;138;74;sm
2026-04-10T20:42:04-05:00;-77;21;105;0.41;129;124;-79;21;104;0.24;135;74;sm
2026-04-10T20:47:05-05:00;-77;21;104;0.37;118;111;-78;22;105;0.25;139;75;sm
2026-04-10T20:52:06-05:00;-76;22;103;1;359;299;-79;21;104;0.25;131;74;sm
2026-04-10T20:57:06-05:00;-76;22;104;0.88;286;266;-79;21;106;0.23;130;70;sm
2026-04-10T21:02:07-05:00;-77;21;103;0.69;282;209;-78;22;105;0.25;135;74;sm
2026-04-10T21:07:10-05:00;-77;21;102;0.61;234;183;-79;21;104;0.25;138;75;sm
2026-04-10T21:12:11-05:00;-77;21;102;0.74;316;224;-77;21;104;0.26;140;77;sm
2026-04-10T21:17:12-05:00;-77;21;104;0.49;186;147;-78;22;104;0.23;123;68;sm
2026-04-10T21:22:13-05:00;-76;21;103;0.57;236;173;-79;21;104;0.25;145;76;sm
2026-04-10T21:27:14-05:00;-77;21;104;0.39;124;118;-78;22;104;0.24;128;71;sm
2026-04-10T21:32:15-05:00;-77;21;104;0.35;116;106;-80;20;103;0.25;136;75;sm
2026-04-10T21:37:16-05:00;-77;21;102;0.36;120;109;-78;21;103;0.25;138;76;sm
2026-04-10T21:42:17-05:00;-77;21;102;0.73;318;222;-79;21;104;0.24;134;73;sm
2026-04-10T21:47:17-05:00;-77;21;106;0.56;223;168;-80;20;104;0.24;130;71;sm
2026-04-10T21:52:18-05:00;-77;21;103;0.41;131;123;-79;21;103;0.26;140;77;sm
2026-04-10T21:57:20-05:00;-77;21;104;0.46;183;140;-78;22;104;0.24;136;74;sm
