timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-04-10T01:04:29-05:00;-77;21;104;0.34;99;103;-79;21;104;0.24;130;71;sm
2026-04-10T01:09:30-05:00;-76;22;104;0.35;103;105;-78;22;104;0.25;137;76;sm
2026-04-10T01:14:31-05:00;-77;21;106;0.39;112;117;-79;21;104;0.25;137;76;sm
2026-04-10T01:19:32-05:00;-76;22;104;0.33;99;99;-79;21;104;0.24;132;73;sm
2026-04-10T01:24:33-05:00;-77;21;106;0.34;103;102;-79;21;103;0.24;131;72;sm
2026-04-10T01:29:35-05:00;-76;21;106;0.33;100;101;-79;21;103;0.24;133;73;sm
2026-04-10T01:34:36-05:00;-77;21;106;0.34;101;102;-79;21;104;0.25;135;75;sm
2026-04-10T01:39:36-05:00;-75;21;104;0.36;108;108;-79;21;105;0.25;135;74;sm
2026-04-10T01:44:38-05:00;-76;22;104;0.38;112;114;-79;21;105;0.26;140;77;sm
2026-04-10T01:49:38-05:00;-77;21;105;0.35;108;105;-79;21;104;0.3;144;91;sm
2026-04-10T01:54:40-05:00;-77;21;106;0.32;99;97;-79;21;104;0.27;139;81;sm
2026-04-10T01:59:41-05:00;-77;21;105;0.36;108;107;-79;21;104;0.25;138;76;sm
2026-04-10T02:04:42-05:00;-78;20;104;0.39;117;118;-78;22;105;0.29;147;87;sm
2026-04-10T02:09:43-05:00;-77;21;106;0.34;107;101;-79;21;104;0.31;136;92;sm
2026-04-10T02:14:43-05:00;-77;21;105;0.39;117;117;-78;22;104;0.27;146;80;sm
2026-04-10T02:19:45-05:00;-77;21;106;0.32;101;98;-79;21;105;0.23;129;71;sm
2026-04-10T02:24:46-05:00;-78;20;105;0.38;112;115;-79;21;104;0.27;147;82;sm
2026-04-10T02:29:47-05:00;-77;21;106;0.33;104;98;-80;20;105;0.23;127;70;sm
2026-04-10T02:34:49-05:00;-77;21;106;0.38;114;115;-79;21;105;0.27;147;81;sm
2026-04-10T02:39:50-05:00;-77;21;106;0.32;93;96;-80;20;104;0.23;125;70;sm
2026-04-10T02:44:51-05:00;-77;21;106;0.34;101;101;-79;21;104;0.25;136;75;sm
2026-04-10T02:49:52-05:00;-77;21;106;0.37;110;112;-79;21;104;0.25;137;76;sm
2026-04-10T02:54:53-05:00;-77;21;105;0.39;118;118;-79;21;105;0.27;147;81;sm
2026-04-10T02:59:54-05:00;-77;21;104;0.33;100;98;-78;22;105;0.25;137;76;sm
