ts,role,ip,peer_ip,dl_mcs,ul_mcs,dl_snr_db,ul_snr_db,dl_rssi_dbm,ul_rssi_dbm,dl_rate,note
2026-05-09T00:00:08-05:00,AP,192.168.1.2,192.168.1.3,104,104,21,20,-75,-80,103M,ok
2026-05-09T00:01:08-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T00:02:08-05:00,AP,192.168.1.2,192.168.1.3,105,107,21,20,-75,-78,137M,ok
2026-05-09T00:03:08-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T00:04:09-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,19,-75,-81,137M,ok
2026-05-09T00:05:09-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T00:06:09-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-78,137M,ok
2026-05-09T00:07:10-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T00:08:10-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T00:09:10-05:00,AP,192.168.1.2,192.168.1.3,104,104,21,20,-75,-78,103M,ok
2026-05-09T00:10:12-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T00:11:12-05:00,AP,192.168.1.2,192.168.1.3,105,106,21,20,-75,-80,137M,ok
2026-05-09T00:12:12-05:00,AP,192.168.1.2,192.168.1.3,106,105,21,20,-75,-80,154M,ok
2026-05-09T00:13:12-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T00:14:13-05:00,AP,192.168.1.2,192.168.1.3,104,105,21,20,-75,-80,103M,ok
2026-05-09T00:15:13-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T00:16:13-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,19,-75,-79,137M,ok
2026-05-09T00:17:13-05:00,AP,192.168.1.2,192.168.1.3,104,105,21,20,-75,-80,103M,ok
2026-05-09T00:18:14-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T00:19:14-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T00:20:14-05:00,AP,192.168.1.2,192.168.1.3,104,105,21,20,-75,-80,103M,ok
2026-05-09T00:21:15-05:00,AP,192.168.1.2,192.168.1.3,106,104,21,20,-75,-80,154M,ok
2026-05-09T00:22:15-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T00:23:15-05:00,AP,192.168.1.2,192.168.1.3,106,105,21,21,-75,-79,154M,ok
2026-05-09T00:24:16-05:00,AP,192.168.1.2,192.168.1.3,104,104,21,20,-75,-80,103M,ok
2026-05-09T00:25:16-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,19,-75,-81,137M,ok
2026-05-09T00:26:16-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,21,-75,-79,137M,ok
2026-05-09T00:27:16-05:00,AP,192.168.1.2,192.168.1.3,104,104,21,20,-75,-78,103M,ok
2026-05-09T00:28:17-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,19,-75,-81,137M,ok
2026-05-09T00:29:17-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T00:30:17-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T00:31:18-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-78,137M,ok
2026-05-09T00:32:18-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T00:33:18-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T00:34:18-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,19,-75,-81,137M,ok
2026-05-09T00:35:19-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,21,-75,-79,137M,ok
2026-05-09T00:36:19-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T00:37:19-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T00:38:20-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,21,-75,-79,137M,ok
2026-05-09T00:39:20-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T00:40:20-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T00:41:20-05:00,AP,192.168.1.2,192.168.1.3,105,105,21,20,-75,-80,137M,ok
2026-05-09T00:42:21-05:00,AP,192.168.1.2,192.168.1.3,104,105,21,20,-75,-80,103M,ok
2026-05-09T00:43:21-05:00,AP,192.168.1.2,192.168.1.3,105,104,21,20,-75,-80,137M,ok
2026-05-09T00:44:21-05:00,AP,192.168.1.2,192.168.1.3,104,104,21,20,-75,-80,103M,ok
