timestamp;dl_rssi;dl_snr;dl_mcs;dl_throughput;dl_pkts;dl_kbits;ul_rssi;ul_snr;ul_mcs;ul_throughput;ul_pkts;ul_kbits;mode
2026-05-13T00:41:28-05:00;-76;20;105;0.55;173;167;-81;19;105;0.33;177;101;sm
2026-05-13T00:46:29-05:00;-76;20;105;0.53;168;161;-80;20;104;0.35;176;104;sm
2026-05-13T00:51:30-05:00;-76;20;105;0.58;182;175;-78;20;104;0.34;177;101;sm
2026-05-13T00:56:31-05:00;-76;20;105;0.57;178;172;-81;19;104;0.35;185;106;sm
2026-05-13T01:01:33-05:00;-76;20;105;0.61;191;186;-80;20;104;0.34;182;104;sm
2026-05-13T01:06:34-05:00;-76;20;105;0.54;171;163;-79;21;105;0.35;182;106;sm
2026-05-13T01:11:35-05:00;-76;20;104;1.11;233;333;-81;19;104;0.59;249;178;sm
2026-05-13T01:16:36-05:00;-76;20;105;0.55;181;165;-78;20;105;0.4;205;120;sm
2026-05-13T01:21:37-05:00;-76;20;105;0.5;168;152;-80;20;105;0.4;197;120;sm
2026-05-13T01:26:38-05:00;-76;20;106;0.51;169;152;-81;19;104;0.37;194;112;sm
2026-05-13T01:31:38-05:00;-76;20;105;0.48;168;144;-79;21;105;0.38;193;113;sm
2026-05-13T01:36:40-05:00;-76;20;105;0.49;164;147;-80;20;105;0.36;190;110;sm
2026-05-13T01:41:41-05:00;-76;20;105;0.5;171;151;-79;21;104;0.38;197;115;sm
2026-05-13T01:46:42-05:00;-76;20;105;0.5;169;151;-81;19;104;0.37;195;112;sm
2026-05-13T01:51:43-05:00;-76;20;105;0.48;162;145;-80;20;105;0.35;179;106;sm
2026-05-13T01:56:44-05:00;-76;20;105;0.5;171;149;-80;20;105;0.39;200;116;sm
2026-05-13T02:01:44-05:00;-76;20;105;0.54;188;161;-81;19;104;0.41;209;124;sm
2026-05-13T02:06:44-05:00;-76;20;105;0.51;172;152;-80;20;104;0.39;201;118;sm
2026-05-13T02:11:46-05:00;-76;20;105;0.46;157;138;-80;20;104;0.34;177;104;sm
2026-05-13T02:16:47-05:00;-76;20;105;0.5;177;152;-81;19;104;0.4;205;119;sm
2026-05-13T02:21:48-05:00;-76;20;105;0.48;162;145;-79;21;105;0.36;187;109;sm
2026-05-13T02:26:49-05:00;-76;20;105;0.58;205;176;-80;20;104;0.41;205;122;sm
2026-05-13T02:31:50-05:00;-76;20;105;0.44;146;132;-80;20;105;0.31;166;93;sm
2026-05-13T02:36:51-05:00;-76;20;106;0.56;192;170;-79;21;104;0.4;202;119;sm
2026-05-13T02:41:52-05:00;-76;20;105;0.43;142;128;-80;20;105;0.31;167;94;sm
2026-05-13T02:46:53-05:00;-76;20;105;0.51;166;154;-80;20;105;0.36;189;109;sm
2026-05-13T02:51:54-05:00;-76;20;105;0.48;162;144;-79;19;105;0.33;176;99;sm
2026-05-13T02:56:55-05:00;-76;20;105;0.52;177;156;-81;19;105;0.39;199;116;sm
2026-05-13T03:01:56-05:00;-76;20;105;0.48;151;143;-79;21;105;0.32;172;97;sm
2026-05-13T03:06:56-05:00;-76;20;104;0.51;170;154;-79;19;104;0.37;189;111;sm
2026-05-13T03:11:57-05:00;-76;20;105;0.52;172;155;-81;19;105;0.37;196;112;sm
2026-05-13T03:16:58-05:00;-76;20;104;0.47;155;141;-80;20;104;0.34;179;103;sm
2026-05-13T03:22:00-05:00;-76;20;105;1.28;223;387;-80;20;104;0.74;279;224;sm
2026-05-13T03:27:01-05:00;-76;20;105;0.5;170;152;-80;20;105;0.38;200;114;sm
2026-05-13T03:34:13-05:00;-76;20;106;0.47;155;142;-79;20;105;0.36;187;107;sm
2026-05-13T03:39:47-05:00;;;;;;;-80;20;;;;;sm
2026-05-13T03:44:48-05:00;-76;20;105;;;;-78;20;105;;;;sm
2026-05-13T03:49:49-05:00;-76;20;106;0.51;165;154;-80;20;104;0.38;199;115;sm
2026-05-13T03:54:50-05:00;-76;20;106;0.47;154;141;-80;20;104;0.35;185;106;sm
2026-05-13T03:59:51-05:00;-76;20;105;0.48;157;144;-77;21;104;0.38;195;115;sm
2026-05-13T04:04:52-05:00;-76;20;106;0.54;179;162;-80;20;105;0.39;204;117;sm
2026-05-13T04:09:53-05:00;-76;20;105;0.5;168;149;-79;21;104;0.38;199;115;sm
2026-05-13T04:14:54-05:00;-76;20;105;0.45;148;135;-80;20;104;0.35;180;105;sm
2026-05-13T04:19:55-05:00;-76;20;105;0.51;169;155;-80;20;105;0.4;204;120;sm
2026-05-13T04:24:57-05:00;-76;20;105;0.48;165;145;-80;20;105;0.45;204;135;sm
2026-05-13T04:29:57-05:00;-76;20;104;0.48;159;145;-80;20;105;0.36;188;109;sm
2026-05-13T04:34:59-05:00;-76;20;105;0.48;164;144;-79;21;105;0.37;190;110;sm
2026-05-13T04:35:26-05:00;-76;20;105;0.54;177;163;;;104;0.41;200;122;sm
2026-05-13T04:40:28-05:00;-76;20;105;0.62;194;188;-81;19;104;0.38;199;114;sm
